country,std_name,raw_name,exists
Cameroon,uuid,uuid,TRUE
Cameroon,rosterposition,rosterposition,TRUE
Cameroon,country,country,FALSE
Cameroon,strata,samp_strat,TRUE
Cameroon,weight_adult,wgh_samp_pop_restr_resp,TRUE
Cameroon,sex,HH_02_RA,TRUE
Cameroon,age,HH_03_RA,FALSE
Cameroon,pop_group,Intro_07,TRUE
Cameroon,disability,disability_RA,TRUE
Cameroon,educ_level,HH_Educ18,FALSE
Cameroon,educ_current,HH_Educ07,FALSE
Cameroon,employed,employed,TRUE
Cameroon,unemployed,unemployed,TRUE
Cameroon,emp_type,EMP30,TRUE
Cameroon,emp_want,EMP27,TRUE
Cameroon,emp_search_a,EMP25a,TRUE
Cameroon,emp_search_aa,EMP25aa,TRUE
Cameroon,emp_available,EMP29,TRUE
Cameroon,right_to_work,JobLegal1,TRUE
Cameroon,care_skill,Exp01a,TRUE
Cameroon,care_sick,Exp01c,TRUE
Cameroon,has_phone,Skills38a,TRUE
Cameroon,has_smartphone,Skills38b,TRUE
Cameroon,used_computer,Skills39,TRUE
Cameroon,digital_email,Skills41a,TRUE
Cameroon,digital_calls,Skills41b,TRUE
Cameroon,digital_info,Skills41c,TRUE
Cameroon,drive_car,Skills42a,TRUE
Pakistan,uuid,uuid,TRUE
Pakistan,rosterposition,rosterposition,TRUE
Pakistan,country,country,FALSE
Pakistan,strata,samp_strat,TRUE
Pakistan,weight_adult,wgh_samp_pop_restr_resp,TRUE
Pakistan,sex,HH_02_RA,TRUE
Pakistan,age,HH_03_RA,FALSE
Pakistan,pop_group,Intro_07,TRUE
Pakistan,disability,disability_RA,TRUE
Pakistan,educ_level,HH_Educ18,FALSE
Pakistan,educ_current,HH_Educ07,FALSE
Pakistan,employed,employed,TRUE
Pakistan,unemployed,unemployed,TRUE
Pakistan,emp_type,EMP30,TRUE
Pakistan,emp_want,EMP27,TRUE
Pakistan,emp_search_a,EMP25a,TRUE
Pakistan,emp_search_aa,EMP25aa,TRUE
Pakistan,emp_available,EMP29,TRUE
Pakistan,right_to_work,JobLegal1,TRUE
Pakistan,care_skill,Exp01a,TRUE
Pakistan,care_sick,Exp01c,TRUE
Pakistan,has_phone,Skills38a,TRUE
Pakistan,has_smartphone,Skills38b,TRUE
Pakistan,used_computer,Skills39,TRUE
Pakistan,digital_email,Skills41a,TRUE
Pakistan,digital_calls,Skills41b,TRUE
Pakistan,digital_info,Skills41c,TRUE
Pakistan,drive_car,Skills42a,TRUE
Zambia,uuid,uuid,TRUE
Zambia,rosterposition,rosterposition,FALSE
Zambia,country,country,FALSE
Zambia,strata,samp_strat,TRUE
Zambia,weight_adult,wgh_samp_pop_restr_resp,TRUE
Zambia,sex,HH_02_RA,TRUE
Zambia,age,HH_03_RA,FALSE
Zambia,pop_group,Intro_07,TRUE
Zambia,disability,disability_RA,TRUE
Zambia,educ_level,HH_Educ18,FALSE
Zambia,educ_current,HH_Educ07,FALSE
Zambia,employed,employed,TRUE
Zambia,unemployed,unemployed,TRUE
Zambia,emp_type,EMP30,TRUE
Zambia,emp_want,EMP27,TRUE
Zambia,emp_search_a,EMP25a,TRUE
Zambia,emp_search_aa,EMP25aa,TRUE
Zambia,emp_available,EMP29,TRUE
Zambia,right_to_work,JobLegal1,TRUE
Zambia,care_skill,Exp01a,TRUE
Zambia,care_sick,Exp01c,TRUE
Zambia,has_phone,Skills38a,TRUE
Zambia,has_smartphone,Skills38b,TRUE
Zambia,used_computer,Skills39,FALSE
Zambia,digital_email,Skills41a,TRUE
Zambia,digital_calls,Skills41b,TRUE
Zambia,digital_info,Skills41c,TRUE
Zambia,drive_car,Skills42a,TRUE
